Arts &amp; Humanities,0.65424
Business &amp; Finance,0.530425
Consumer Electronics,1.25933
Education &amp; Reference,0.766381
Entertainment &amp; Music,1.11318
Health,0.397258
Games &amp; Recreation,1.33689
Science &amp; Mathematics,0.812473
Beauty &amp; Style,0.977641
Sports,1.58635
Social Science,0.577697
Cars &amp; Transportation,0.434322
Dining Out,1.04917
Food &amp; Drink,0.644284
Home &amp; Garden,1.0256
Local Businesses,0.993313
Family &amp; Relationships,0.571168
News &amp; Events,0.999409
Pets,0.587593
Politics &amp; Government,0.945918
Environment,0.857425
Society &amp; Culture,1.25244
Travel,1.15332
Computers &amp; Internet,0.898609
Pregnancy &amp; Parenting,1.04122
Yahoo Products,0.88804
